"","FIPS","Area","STATE","IS_D","tmp","prec","POPULATION","ST_AAP_TOT_TOT","ST_POPULATION","ST_GR_INCOME_PC"
"190","13135","Gwinnett, GA","GEORGIA",0,61.7666666666667,3.72083333333333,824050,45930.5286747479,9805488,3.16884706047045
"191","13139","Hall, GA","GEORGIA",0,61.025,4.01666666666667,181983,45930.5286747479,9805488,3.16884706047045
"192","13141","Hancock, GA","GEORGIA",0,64.0416666666667,2.90833333333333,9425,45930.5286747479,9805488,3.16884706047045
"193","13143","Haralson, GA","GEORGIA",0,60.8083333333333,4.01083333333333,28429,45930.5286747479,9805488,3.16884706047045
"194","13145","Harris, GA","GEORGIA",0,63.7333333333333,3.425,32177,45930.5286747479,9805488,3.16884706047045
"195","13147","Hart, GA","GEORGIA",0,61.9916666666667,3.3075,25351,45930.5286747479,9805488,3.16884706047045
"196","13151","Henry, GA","GEORGIA",0,62.875,3.405,207226,45930.5286747479,9805488,3.16884706047045
"197","13155","Irwin, GA","GEORGIA",0,66.4166666666667,2.81083333333333,9710,45930.5286747479,9805488,3.16884706047045
"198","13157","Jackson, GA","GEORGIA",0,61.9916666666667,3.39583333333333,61038,45930.5286747479,9805488,3.16884706047045
"199","13159","Jasper, GA","GEORGIA",0,63.25,3.1775,13851,45930.5286747479,9805488,3.16884706047045
"200","13161","Jeff Davis, GA","GEORGIA",0,66.8083333333333,2.72416666666667,15108,45930.5286747479,9805488,3.16884706047045
"201","13169","Jones, GA","GEORGIA",0,64.0833333333333,2.89166666666667,28672,45930.5286747479,9805488,3.16884706047045
"202","13171","Lamar, GA","GEORGIA",0,63.2666666666667,3.1025,18071,45930.5286747479,9805488,3.16884706047045
"203","13183","Long, GA","GEORGIA",0,67.7916666666667,3.1575,14710,45930.5286747479,9805488,3.16884706047045
"204","13187","Lumpkin, GA","GEORGIA",0,58.65,5.10416666666667,30390,45930.5286747479,9805488,3.16884706047045
"205","13195","Madison, GA","GEORGIA",0,61.9583333333333,3.31666666666667,28165,45930.5286747479,9805488,3.16884706047045
"206","13197","Marion, GA","GEORGIA",0,64.4916666666667,3.19083333333333,8568,45930.5286747479,9805488,3.16884706047045
"207","13199","Meriwether, GA","GEORGIA",0,62.875,3.47083333333333,21528,45930.5286747479,9805488,3.16884706047045
"208","13205","Mitchell, GA","GEORGIA",0,66.9833333333333,2.925,23410,45930.5286747479,9805488,3.16884706047045
"209","13207","Monroe, GA","GEORGIA",0,63.625,2.95833333333333,26302,45930.5286747479,9805488,3.16884706047045
"210","13211","Morgan, GA","GEORGIA",0,62.8833333333333,3.18,17966,45930.5286747479,9805488,3.16884706047045
"211","13213","Murray, GA","GEORGIA",0,60.0083333333333,4.81833333333333,39354,45930.5286747479,9805488,3.16884706047045
"212","13215","Muscogee, GA","GEORGIA",0,64.975,3.31666666666667,196595,45930.5286747479,9805488,3.16884706047045
"213","13217","Newton, GA","GEORGIA",0,62.7166666666667,3.26916666666667,100395,45930.5286747479,9805488,3.16884706047045
"214","13219","Oconee, GA","GEORGIA",0,62.4916666666667,3.23666666666667,33359,45930.5286747479,9805488,3.16884706047045
"215","13221","Oglethorpe, GA","GEORGIA",0,62.475,3.17916666666667,14640,45930.5286747479,9805488,3.16884706047045
"216","13223","Paulding, GA","GEORGIA",0,61.45,3.81666666666667,143236,45930.5286747479,9805488,3.16884706047045
"217","13227","Pickens, GA","GEORGIA",0,59.4583333333333,4.62583333333333,29414,45930.5286747479,9805488,3.16884706047045
"218","13231","Pike, GA","GEORGIA",0,63.1083333333333,3.31166666666667,17772,45930.5286747479,9805488,3.16884706047045
"219","13235","Pulaski, GA","GEORGIA",0,65.9833333333333,2.84833333333333,11675,45930.5286747479,9805488,3.16884706047045
"220","13237","Putnam, GA","GEORGIA",0,63.7083333333333,2.96,21199,45930.5286747479,9805488,3.16884706047045
"221","13239","Quitman, GA","GEORGIA",0,65.3333333333333,3.33666666666667,2448,45930.5286747479,9805488,3.16884706047045
"222","13243","Randolph, GA","GEORGIA",0,65.3583333333333,3.33666666666667,7527,45930.5286747479,9805488,3.16884706047045
"223","13247","Rockdale, GA","GEORGIA",0,62.575,3.33583333333333,85729,45930.5286747479,9805488,3.16884706047045
"224","13249","Schley, GA","GEORGIA",0,64.6333333333333,3.1325,4961,45930.5286747479,9805488,3.16884706047045
"225","13251","Screven, GA","GEORGIA",0,65.875,2.5625,14410,45930.5286747479,9805488,3.16884706047045
